name,kioskId,start_station,total_start_trips,end_station,total_end_trips,totalDocks,percent_car,totalpop,student_ratio,educated_ratio,employed_ratio,logDistRests,within_centerCity,logIntersectionDists,logStationDists,laggedTrips
Broad & Oxford,3056,3056,554,3056,523,22,0.472289156626506,4232.0,0.11271266514009295,0.051748582108344564,0.3742911144274785,2.3965575355286868,0,1.4537064562801667,2.9449970352463017,340.6
20th & Fairmount,3058,3058,834,3058,740,19,0.5283018867924528,2985.0,0.026465661552878855,0.03584589602731693,0.7001675018419848,2.556336595436747,0,1.4659721649919544,2.8363807556018994,687.2
"Spring Garden Station, BSL",3059,3059,640,3059,623,21,0.3845285149632976,3505.0,0.012553494971316704,0.08701854468753624,0.6251069882307931,2.4691777361263,0,1.4042558033538852,2.77068981333789,640.2
9th & Spring Garden,3073,3073,453,3073,429,15,0.3845285149632976,3505.0,0.012553494971316704,0.08701854468753624,0.6251069882307931,2.7605038938794437,0,1.3331403623229356,2.988655688538052,477.4
12th & Callowhill,3154,3154,1027,3154,1027,16,0.3845285149632976,3505.0,0.012553494971316704,0.08701854468753624,0.6251069882307931,2.573419682153418,0,1.5195438342616945,2.8798328151551136,502.0
23rd & Market,3061,3061,1059,3061,1046,25,0.3281385281385281,2573.0,0.0038865137820189902,0.015157403749874062,0.6303925354434802,2.6504272572375673,1,1.3971233512409942,2.6681965629970286,777.0
20th & Market,3156,3156,733,3156,733,22,0.3281385281385281,2573.0,0.0038865137820189902,0.015157403749874062,0.6303925354434802,2.4567985017440246,1,2.0308967136067464,2.6230449961211377,907.2
24th & Sansom,3062,3062,648,3062,644,15,0.12227414330218069,2181.0,0.0,0.016047684474792826,0.6973865167474254,2.593607565481584,0,1.335295140705777,2.6821671271479435,1029.0
20th & Sansom,3168,3168,1299,3168,1297,23,0.12227414330218069,2181.0,0.0,0.016047684474792826,0.6973865167474254,2.1635385868817423,1,1.6396243051551884,2.682217528292413,1013.6
"18th & Washington, Chew Playground",3064,3064,693,3064,646,22,0.4986425339366516,2381.0,0.023939521109031827,0.09281814324729884,0.662746742281618,2.8823814817218687,0,1.604359424502362,2.833860206093919,754.6
22nd & Federal,3114,3114,772,3114,733,17,0.4986425339366516,2381.0,0.023939521109031827,0.09281814324729884,0.662746742281618,2.7372638308529225,0,1.6540942231076958,2.9257252500276736,775.4
Girard & Hutchinson,3065,3065,251,3065,258,15,0.3785450061652281,2781.0,0.05501618103194469,0.13268608366527837,0.3300970861916681,2.8402497143096697,0,1.4659109127582792,2.9786434632071166,478.4
19th & Lombard,3066,3066,1101,3066,1014,29,0.25981524249422633,1973.0,0.029396857428297733,0.014191586344695457,0.6887987800871831,2.556641428872335,0,1.370280695743774,2.795820851397199,1190.8
"39th & Mt. Vernon, Mantua Haverford Community Center",3067,3067,229,3067,195,17,0.4449838187702265,4396.0,0.03412192894876723,0.03798908089629418,0.31619654159190963,3.029235840337208,0,1.6641599297916323,3.0025971550818076,452.8
Broad & Federal,3068,3068,661,3068,641,18,0.3646877409406322,2977.0,0.048706751599910135,0.11152166573220804,0.5428283488652054,2.631198522349095,0,1.4297024112816739,2.8542922847959864,638.0
10th & Federal,3098,3098,618,3098,638,19,0.3646877409406322,2977.0,0.048706751599910135,0.11152166573220804,0.5428283488652054,2.355798929304523,0,1.7678362499380658,2.8245967300946897,658.4
4th & Christian,3069,3069,640,3069,659,23,0.4590049053959355,3029.0,0.019808517597198688,0.03631561559486426,0.5863321208770811,2.7310136659569135,0,1.4862170857770156,2.793152663762556,732.0
"Spring Garden Station, MFL",3070,3070,318,3070,277,19,0.613005911778081,3405.0,0.03964757697607173,0.07812041093063021,0.7703377363573047,2.5512301418745933,0,1.5506672925050593,3.0051080192172086,507.8
Front & Carpenter,3072,3072,431,3072,426,25,0.5397435897435897,4420.0,0.023303167368092383,0.09049773735181509,0.480090496651379,2.7689192464693733,0,1.7096252043038973,2.977961550669588,785.2
4th & Washington,3099,3099,409,3099,411,19,0.5397435897435897,4420.0,0.023303167368092383,0.09049773735181509,0.480090496651379,2.8665948110862653,0,1.8474255821285206,2.8937810985046393,789.6
44th & Walnut,3074,3074,600,3074,570,15,0.33681073025335323,3178.0,0.007551919422429454,0.0824417870281882,0.7278162343366386,2.3788501879804014,0,1.215097948813239,2.944786056353883,485.0
Fairmount & Ridge,3075,3075,685,3075,643,12,0.4539908490086426,3234.0,0.011750154570964271,0.06493506473427624,0.7368583774370489,2.6582424987743565,0,1.6260464494560434,2.8476061666050856,413.6
